sim_id,movienames
11,024854_LUS_10000AC_62050000_|016340_LUS_PLANETAMACACOSORIGEM_65275000_|012550_LUS_WINXAVENTURAMAGICA_|028401_LUS_GARFIELDFESTIVCOMED_61365000_VP_|019934_LUS_1MONSTROPARIS_61442000_VP_|028485_LUS_FRAGILSOMMOTOR_66038000_|015171_LUS_GANGSTERAMERICA_59235000_|016614_LUS_ATOUPEIRA_5259000_|008770_LUS_STEPUP3_|017789_LUS_IDSECRETA_65581000_|000008_LUS_CIDADEBAIXA_|016333_LUS_XMENOINICIO_65291000_|003150_LUS_DIARIODAPRINCESA_|016631_LUS_JUSTICA_62092000_|012618_LUS_THEMECHANICOPROFISSIONAL_
12,021987_LUS_MUNDENCANTGIGI_60283000_VP_|018880_LUS_BUSCIDADEPERD_70117000_|015162_LUS_MEDOPROFUNDO_63035000_|005736_LUS_JOGO_HD_|015788_LUS_CAPUCHVERM_NAVENT_65128000_|011979_LUS_SAW6_|002562_LUS_SCARYMOVIE2_|012606_LUS_ARTUR3GUERRA2MUNDOS_VP_|022540_LUS_VINGANCA_61834000_|022529_LUS_LOLAVERSUS_63741000_|028395_LUS_PRINCIPIOINCERTEZA_57758000_|028341_LUS_VISITANTESNAMERICA_53617000_|024537_LUS_TRIBO_59072000_|014173_LUS_ACTIVPARANORMAL_|000076_LUS_OFIELJARDINEIRO_
13,013410_LUS_ARTURVING2_VP_HD_|018789_LUS_EUSOUALENDA_62106000_|002008_LUS_QUEMQUERSMILION_HD_|005403_LUS_NINJASSASSI_|000069_LUS_TMNTNOVAAVENTURA_|025684_LUS_ZARAFA_VP_65340000_|028364_LUS_1CONTODENATAL_52455000_VO_|008742_LUS_HACHIKO_|017791_LUS_DRIVEDUPLRISC_65661000_|002509_LUS_YESMAN_|026515_LUS_CATCH44_63349000_|020184_LUS_LOCKOUT_63737000_|014173_LUS_ACTIVPARANORMAL_|026512_LUS_FORCAG_61528000_VP_|011414_LUS_1MAEEMAPUROS_
14,028401_LUS_GARFIELDFESTIVCOMED_61365000_VP_|028345_LUS_CHIMPASEMPERIGO_55136000_|015788_LUS_CAPUCHVERM_NAVENT_65128000_|003004_LUS_CORALINE_|013644_LUS_DIARIONPAIXAO_|000008_LUS_CIDADEBAIXA_|026645_LUS_BALACERTEIRA_67106000_|022077_LUS_HESHER_61764000_|029318_LUS_TEMOSFALARSOBKEVIN_65924000_|008413_LUS_ECLIPSE_|016576_LUS_GARFIELD2_65257000_|001080_LUS_HISTINTERMINAVEL_|013673_LUS_ANIMAISUNIDOS_|019934_LUS_1MONSTROPARIS_61442000_VP_|013679_LUS_CACADORESDRAGOES_
15,022536_LUS_OSUBSTITUTO_66413000_|028354_LUS_VIDASELVAGEMFILME_67297000_|017847_LUS_GHOSTRIDERVING_63304000_|025114_LUS_CACADORULTIGRTASM_64724000_|002006_LUS_ADUQUESA_HD_|012899_LUS_ARVOREDAVIDA_|017789_LUS_IDSECRETA_65581000_|008742_LUS_HACHIKO_|010931_LUS_DISCURSODOREI_|028333_LUS_POKEMON5_55561000_|013679_LUS_CACADORESDRAGOES_|022076_LUS_OSILENCIO_66325000_|012606_LUS_ARTUR3GUERRA2MUNDOS_VP_|016614_LUS_ATOUPEIRA_5259000_|025693_LUS_TUDOPOR1BEBE_64425000_
16,002205_LUS_ENGATE_|024595_LUS_DUPLOIMPACTO_65440000_|028405_LUS_3096DIAS_65991000_|000152_LUS_DUMBO_|017109_LUS_HOMEMNOLIMITE_63401000_|028401_LUS_GARFIELDFESTIVCOMED_61365000_VP_|022078_LUS_RUNAWAYS_61924000_|007405_LUS_ASTROBOY_|024214_LUS_ANTICRISTO_51899000_|025071_LUS_CRONARNIAVIAGCAMALV_64467000_|002509_LUS_YESMAN_|016589_LUS_METODPERIGOSO_5027000_|012029_LUS_TEKKENOFILME_|025658_LUS_KICKBOXER3_55744000_|021960_LUS_DARKTIDE_66294000_
17,012908_LUS_BEASTLY_|016600_LUS_XMENCONFRONTO_65292000_|026461_LUS_DESPERTAR_63765000_|016327_LUS_BORAT_65245000_|024590_LUS_VIAGEMPOPEYE_66734000_|025706_LUS_BRACODIREITSATAN_56325000_|000812_LUS_MATADORAS_|012606_LUS_ARTUR3GUERRA2MUNDOS_VP_|001353_LUS_BUSCAIMPLACAVEL_|008770_LUS_STEPUP3_|021285_LUS_MATCASREENCARN_61631000_|024587_LUS_MONGOL_66732000_|024858_LUS_CATWOMAN_62067000_|002560_LUS_VELFUR_LIGATOQUIO_|003018_LUS_ZACKMIRIFAZEMPORNO_
18,026512_LUS_FORCAG_61528000_VP_|021931_LUS_TERCEIROPASSO_62028000_|028369_LUS_CENARIOMORTAL_67324000_|020166_LUS_GRAVIDAMASPOUCO_61648000_|017090_LUS_ESPIAOFANTASM_62833000_|001348_LUS_SAW5_|000102_LUS_BRATZOFILMEVDOB_|015028_LUS_OSSMURFS_64447_|022540_LUS_VINGANCA_61834000_|001547_LUS_TWILIGHT_HD_|028488_LUS_TURBULENCIASAMOR_67032000_|000812_LUS_MATADORAS_|024863_LUS_POLAREXPRESS_62129000_VP_|012606_LUS_ARTUR3GUERRA2MUNDOS_VP_|002008_LUS_QUEMQUERSMILION_HD_
19,028347_LUS_PELE_54257000_|008147_LUS_HOMEMDEFERRO2_|027490_LUS_TOMASEAMIGANIMZOO_63527_695659D_|002509_LUS_YESMAN_|000812_LUS_MATADORAS_|025690_LUS_TERRAPROMET_65827000_|000008_LUS_CIDADEBAIXA_|028369_LUS_CENARIOMORTAL_67324000_|009363_LUS_ULTIMOEXORCISMO_|029647_LUS_ROMANCEARRISCADO_55158000_|024590_LUS_VIAGEMPOPEYE_66734000_|014173_LUS_ACTIVPARANORMAL_|027117_LUS_10ANOSDEPOIS_66422000_|026441_LUS_SPINRITMLAT_58364000_|010965_LUS_BLUEVALENTINE_
20,024310_LUS_ANITAVOL1_DIAMAE_63310_695482D_|013679_LUS_CACADORESDRAGOES_|000265_LUS_SAWENIGMAMORTAL_|019938_LUS_DAMADEFERRO_65660000_|017109_LUS_HOMEMNOLIMITE_63401000_|022077_LUS_HESHER_61764000_|000293_LUS_WINX_VP_|012618_LUS_THEMECHANICOPROFISSIONAL_|011414_LUS_1MAEEMAPUROS_|013634_LUS_LARRYCROWNE_|013673_LUS_ANIMAISUNIDOS_|012017_LUS_AULTIMANOITE_|018855_LUS_ESPELHOMEU_63742000_|017866_LUS_VERGONHA_63394000_|021966_LUS_SEGBBMOUNT_UNIVERSAL_64307000_
21,027114_LUS_AMORELETRAS_65531000_|028730_LUS_CUMPLICE_66643000_|000244_LUS_B13GANGSBAIRRO13_|026880_LUS_HOMEMABATER_64426000_|008492_LUS_DARTACAO_OFILME_|016333_LUS_XMENOINICIO_65291000_|016614_LUS_ATOUPEIRA_5259000_|004537_LUS_PARAMINHAIRMA_|001015_LUS_MACACOSESPACO_VP_|015796_LUS_GATOBOTAS_VP_63550000_|004459_LUS_BONES2_|010965_LUS_BLUEVALENTINE_|015783_LUS_3MOSQUETEIROS_63020000_|026461_LUS_DESPERTAR_63765000_|013644_LUS_DIARIONPAIXAO_
22,020714_LUS_SCARYMOVIE_65590000_|002691_LUS_SINAISDOFUTURO_|001547_LUS_TWILIGHT_HD_|015162_LUS_MEDOPROFUNDO_63035000_|028354_LUS_VIDASELVAGEMFILME_67297000_|000291_LUS_ASTERIXVIKINGSVP_|020162_LUS_MISTERIORUA7_63172000_|001023_LUS_HOMEMDEFERRO_|004354_LUS_HARRYPOTTPRINCMIST_|017109_LUS_HOMEMNOLIMITE_63401000_|000104_LUS_COLECCIONADOROLHOS_|024595_LUS_DUPLOIMPACTO_65440000_|024645_LUS_VERTIGEM_61625000_|026515_LUS_CATCH44_63349000_|017847_LUS_GHOSTRIDERVING_63304000_
23,000138_LUS_AMOREODESASTRES_|005736_LUS_JOGO_HD_|025702_LUS_7PSICOPATAS_66281000_|024227_LUS_PATOLOGIA_59218000_|000055_LUS_TCAESMERECEMCEU_|001080_LUS_HISTINTERMINAVEL_|004798_LUS_PORAMOR_|001353_LUS_BUSCAIMPLACAVEL_|019932_LUS_AMIGOSIMPROVAVEIS_VP_64400000_|018789_LUS_EUSOUALENDA_62106000_|025706_LUS_BRACODIREITSATAN_56325000_|008535_LUS_CARTASPARAJULIETA_|015788_LUS_CAPUCHVERM_NAVENT_65128000_|012017_LUS_AULTIMANOITE_|029647_LUS_ROMANCEARRISCADO_55158000_
24,008179_LUS_OSMERCENARIOS_|012550_LUS_WINXAVENTURAMAGICA_|000138_LUS_AMOREODESASTRES_|017791_LUS_DRIVEDUPLRISC_65661000_|000104_LUS_COLECCIONADOROLHOS_|024227_LUS_PATOLOGIA_59218000_|011998_LUS_KICKASS_|011407_LUS_THEDEPARTED_|015171_LUS_GANGSTERAMERICA_59235000_|000812_LUS_MATADORAS_|008413_LUS_ECLIPSE_|026458_LUS_LADRCOMESTILO_63638000_|026881_LUS_PEDACINHOPARAISO_61913000_|020162_LUS_MISTERIORUA7_63172000_|026441_LUS_SPINRITMLAT_58364000_
25,008492_LUS_DARTACAO_OFILME_|005372_LUS_PLANETA51_VP_|012618_LUS_THEMECHANICOPROFISSIONAL_|028367_LUS_VIDAN1MOMENTO_67281000_|028334_LUS_POKEMON6_65678000_|001857_LUS_TRANSPORTER3_HD_|005736_LUS_JOGO_HD_|012017_LUS_AULTIMANOITE_|003006_LUS_NOLIMITEDOAMOR_|013679_LUS_CACADORESDRAGOES_|022529_LUS_LOLAVERSUS_63741000_|021966_LUS_SEGBBMOUNT_UNIVERSAL_64307000_|016340_LUS_PLANETAMACACOSORIGEM_65275000_|008413_LUS_ECLIPSE_|020157_LUS_ACEVENTURADETANIM_26668000_
26,026881_LUS_PEDACINHOPARAISO_61913000_|020166_LUS_GRAVIDAMASPOUCO_61648000_|028395_LUS_PRINCIPIOINCERTEZA_57758000_|000248_LUS_CRIMEPADREAMARO_|020701_LUS_MIRASSASSINO_63171000_|016624_LUS_IDADEGELO3_VP_65261000_|000265_LUS_SAWENIGMAMORTAL_|000092_LUS_TURISTAS_|008745_LUS_300_|024595_LUS_DUPLOIMPACTO_65440000_|010083_LUS_PRECOTRAICAO_|013679_LUS_CACADORESDRAGOES_|000293_LUS_WINX_VP_|002275_LUS_VELOCIDADEMFURIOSA_|020714_LUS_SCARYMOVIE_65590000_
27,021930_LUS_POCAHONTASVP_27878000_VP_|010965_LUS_BLUEVALENTINE_|000069_LUS_TMNTNOVAAVENTURA_|016614_LUS_ATOUPEIRA_5259000_|026461_LUS_DESPERTAR_63765000_|018827_LUS_APRESA_64399000_|012899_LUS_ARVOREDAVIDA_|024214_LUS_ANTICRISTO_51899000_|026880_LUS_HOMEMABATER_64426000_|002562_LUS_SCARYMOVIE2_|024863_LUS_POLAREXPRESS_62129000_VP_|018789_LUS_EUSOUALENDA_62106000_|021994_LUS_FILHOSHUANGSHI_58175000_|001023_LUS_HOMEMDEFERRO_|008492_LUS_DARTACAO_OFILME_
28,000248_LUS_CRIMEPADREAMARO_|026880_LUS_HOMEMABATER_64426000_|002691_LUS_SINAISDOFUTURO_|014691_LUS_WANTED_|024595_LUS_DUPLOIMPACTO_65440000_|016600_LUS_XMENCONFRONTO_65292000_|021942_LUS_NATALPERDIDO_65362000_|027940_LUS_HOSPEDESINDESEJADOS_67234000|024310_LUS_ANITAVOL1_DIAMAE_63310_695482D_|027490_LUS_TOMASEAMIGANIMZOO_63527_695659D_|016333_LUS_XMENOINICIO_65291000_|019404_LUS_BALASEBOLINHOSREG_55945000_|014695_LUS_KILLERELITE_|003018_LUS_ZACKMIRIFAZEMPORNO_|012029_LUS_TEKKENOFILME_
29,028405_LUS_3096DIAS_65991000_|005403_LUS_NINJASSASSI_|016614_LUS_ATOUPEIRA_5259000_|022077_LUS_HESHER_61764000_|026969_LUS_ARANHAS_63574000_|014691_LUS_WANTED_|026881_LUS_PEDACINHOPARAISO_61913000_|018789_LUS_EUSOUALENDA_62106000_|016321_LUS_RIO_VP_64471000_|000265_LUS_SAWENIGMAMORTAL_|003006_LUS_NOLIMITEDOAMOR_|019932_LUS_AMIGOSIMPROVAVEIS_VP_64400000_|001353_LUS_BUSCAIMPLACAVEL_|000008_LUS_CIDADEBAIXA_|016624_LUS_IDADEGELO3_VP_65261000_
30,016614_LUS_ATOUPEIRA_5259000_|005738_LUS_REIESCORPIAO_|012017_LUS_AULTIMANOITE_|018789_LUS_EUSOUALENDA_62106000_|014173_LUS_ACTIVPARANORMAL_|020157_LUS_ACEVENTURADETANIM_26668000_|021960_LUS_DARKTIDE_66294000_|002008_LUS_QUEMQUERSMILION_HD_|029647_LUS_ROMANCEARRISCADO_55158000_|023531_LUS_VIDASECRETGATOS_53490000_|027117_LUS_10ANOSDEPOIS_66422000_|005372_LUS_PLANETA51_VP_|000812_LUS_MATADORAS_|026969_LUS_ARANHAS_63574000_|022549_LUS_200KMHORA_66405000_
31,016574_LUS_HORTONEQUEM_VP_65251000_|015188_LUS_HOSPICIO_61785000_|005736_LUS_JOGO_HD_|021987_LUS_MUNDENCANTGIGI_60283000_VP_|004795_LUS_ORFA_|016614_LUS_ATOUPEIRA_5259000_|029647_LUS_ROMANCEARRISCADO_55158000_|024863_LUS_POLAREXPRESS_62129000_VP_|025693_LUS_TUDOPOR1BEBE_64425000_|028371_LUS_CONFIANCATRAIDA_67282000_|000069_LUS_TMNTNOVAAVENTURA_|026969_LUS_ARANHAS_63574000_|001097_LUS_STEPUP_|001857_LUS_TRANSPORTER3_HD_|009363_LUS_ULTIMOEXORCISMO_
32,024645_LUS_VERTIGEM_61625000_|028369_LUS_CENARIOMORTAL_67324000_|015028_LUS_OSSMURFS_64447_|022079_LUS_ASSASSINOEMIM_62635000_|021987_LUS_MUNDENCANTGIGI_60283000_VP_|028334_LUS_POKEMON6_65678000_|011979_LUS_SAW6_|001547_LUS_TWILIGHT_HD_|000092_LUS_TURISTAS_|000076_LUS_OFIELJARDINEIRO_|008745_LUS_300_|018880_LUS_BUSCIDADEPERD_70117000_|026441_LUS_SPINRITMLAT_58364000_|026902_LUS_GRANDEDIA_63777000_|002006_LUS_ADUQUESA_HD_
33,011414_LUS_1MAEEMAPUROS_|012908_LUS_BEASTLY_|001023_LUS_HOMEMDEFERRO_|001857_LUS_TRANSPORTER3_HD_|003249_LUS_HARRYPOTTERPRISAZK_|008147_LUS_HOMEMDEFERRO2_|012576_LUS_OCODIGOBASE_|019363_LUS_ESPELHOMEU_VP_63742000_VP_|020184_LUS_LOCKOUT_63737000_|014159_LUS_HORAPONTA3_|015783_LUS_3MOSQUETEIROS_63020000_|005403_LUS_NINJASSASSI_|010931_LUS_DISCURSODOREI_|026969_LUS_ARANHAS_63574000_|022529_LUS_LOLAVERSUS_63741000_
34,002205_LUS_ENGATE_|000104_LUS_COLECCIONADOROLHOS_|011003_LUS_GNOMEUEJULIETA_VP_|016600_LUS_XMENCONFRONTO_65292000_|012606_LUS_ARTUR3GUERRA2MUNDOS_VP_|022079_LUS_ASSASSINOEMIM_62635000_|018874_LUS_ONGBAK3_65814000_|025071_LUS_CRONARNIAVIAGCAMALV_64467000_|002213_LUS_MAMMAMIA_HD_|024227_LUS_PATOLOGIA_59218000_|028345_LUS_CHIMPASEMPERIGO_55136000_|022541_LUS_RAPTADOS_60344000_|022529_LUS_LOLAVERSUS_63741000_|012908_LUS_BEASTLY_|024587_LUS_MONGOL_66732000_
35,026645_LUS_BALACERTEIRA_67106000_|016600_LUS_XMENCONFRONTO_65292000_|022581_LUS_SABORPAIXAO_56589000_|022540_LUS_VINGANCA_61834000_|022076_LUS_OSILENCIO_66325000_|028367_LUS_VIDAN1MOMENTO_67281000_|013644_LUS_DIARIONPAIXAO_|020714_LUS_SCARYMOVIE_65590000_|021966_LUS_SEGBBMOUNT_UNIVERSAL_64307000_|028369_LUS_CENARIOMORTAL_67324000_|025076_LUS_SEMTI_61341000_|017866_LUS_VERGONHA_63394000_|014159_LUS_HORAPONTA3_|016576_LUS_GARFIELD2_65257000_|025690_LUS_TERRAPROMET_65827000_
36,014173_LUS_ACTIVPARANORMAL_|021930_LUS_POCAHONTASVP_27878000_VP_|024854_LUS_10000AC_62050000_|021995_LUS_MORTENEGRA_60346000_|022030_LUS_MARGINAIS_66299000_|010931_LUS_DISCURSODOREI_|025706_LUS_BRACODIREITSATAN_56325000_|001080_LUS_HISTINTERMINAVEL_|009382_LUS_VINGSUPRHOMFERRO_|022536_LUS_OSUBSTITUTO_66413000_|012550_LUS_WINXAVENTURAMAGICA_|028732_LUS_MEDOPRIMARIO_66502000_|005738_LUS_REIESCORPIAO_|017847_LUS_GHOSTRIDERVING_63304000_|026880_LUS_HOMEMABATER_64426000_
37,008147_LUS_HOMEMDEFERRO2_|016600_LUS_XMENCONFRONTO_65292000_|021987_LUS_MUNDENCANTGIGI_60283000_VP_|002213_LUS_MAMMAMIA_HD_|010083_LUS_PRECOTRAICAO_|017847_LUS_GHOSTRIDERVING_63304000_|029647_LUS_ROMANCEARRISCADO_55158000_|005736_LUS_JOGO_HD_|020162_LUS_MISTERIORUA7_63172000_|011979_LUS_SAW6_|005403_LUS_NINJASSASSI_|008413_LUS_ECLIPSE_|000104_LUS_COLECCIONADOROLHOS_|000244_LUS_B13GANGSBAIRRO13_|024595_LUS_DUPLOIMPACTO_65440000_
38,012945_LUS_EMPRESTATEUNAMOR_|008413_LUS_ECLIPSE_|026645_LUS_BALACERTEIRA_67106000_|028345_LUS_CHIMPASEMPERIGO_55136000_|001080_LUS_HISTINTERMINAVEL_|000008_LUS_CIDADEBAIXA_|012908_LUS_BEASTLY_|028730_LUS_CUMPLICE_66643000_|011998_LUS_KICKASS_|015188_LUS_HOSPICIO_61785000_|026441_LUS_SPINRITMLAT_58364000_|025655_LUS_FOGCONTRAFOG_65786000_|004798_LUS_PORAMOR_|014695_LUS_KILLERELITE_|012017_LUS_AULTIMANOITE_
39,013660_LUS_TINHASMSMSERTU_|022536_LUS_OSUBSTITUTO_66413000_|011405_LUS_OEXORCISMO_|028365_LUS_1CONTODENATAL_52455000_VP_|026877_LUS_PANTERACOROSA_65436000_|017793_LUS_REBELDSALVADOR_65663000_|024858_LUS_CATWOMAN_62067000_|024595_LUS_DUPLOIMPACTO_65440000_|020480_LUS_NALIEUE13ULT_61619000_|015188_LUS_HOSPICIO_61785000_|025913_LUS_PEQNICOLAS_T2_VOL1_63311_695602D_|028485_LUS_FRAGILSOMMOTOR_66038000_|026459_LUS_DOU1ANO_65849000_|023518_LUS_SAFEOINTOCAVEL_66511000_|021994_LUS_FILHOSHUANGSHI_58175000_
40,027940_LUS_HOSPEDESINDESEJADOS_67234000|002691_LUS_SINAISDOFUTURO_|016321_LUS_RIO_VP_64471000_|011979_LUS_SAW6_|000138_LUS_AMOREODESASTRES_|003150_LUS_DIARIODAPRINCESA_|022078_LUS_RUNAWAYS_61924000_|002560_LUS_VELFUR_LIGATOQUIO_|016644_LUS_APOLLO18_5439000_|019932_LUS_AMIGOSIMPROVAVEIS_VP_64400000_|027114_LUS_AMORELETRAS_65531000_|027942_LUS_AVENTPEQPOLEGAREZINHA_54753000_VP_|026512_LUS_FORCAG_61528000_VP_|024645_LUS_VERTIGEM_61625000_|028341_LUS_VISITANTESNAMERICA_53617000_
41,020746_LUS_CHOKDEEARTCAMP_66089000_|011414_LUS_1MAEEMAPUROS_|017847_LUS_GHOSTRIDERVING_63304000_|026645_LUS_BALACERTEIRA_67106000_|024203_LUS_PEQNICOLAS_VOL8_62592_695371D_|023531_LUS_VIDASECRETGATOS_53490000_|028341_LUS_VISITANTESNAMERICA_53617000_|017109_LUS_HOMEMNOLIMITE_63401000_|022549_LUS_200KMHORA_66405000_|003150_LUS_DIARIODAPRINCESA_|017791_LUS_DRIVEDUPLRISC_65661000_|012899_LUS_ARVOREDAVIDA_|028730_LUS_CUMPLICE_66643000_|025706_LUS_BRACODIREITSATAN_56325000_|000292_LUS_ARTURMINIMEUSVP_
42,028731_LUS_116DESVIOMILHOES_66381000_|008413_LUS_ECLIPSE_|016340_LUS_PLANETAMACACOSORIGEM_65275000_|001353_LUS_BUSCAIMPLACAVEL_|021930_LUS_POCAHONTASVP_27878000_VP_|016333_LUS_XMENOINICIO_65291000_|022076_LUS_OSILENCIO_66325000_|022541_LUS_RAPTADOS_60344000_|021987_LUS_MUNDENCANTGIGI_60283000_VP_|003004_LUS_CORALINE_|003018_LUS_ZACKMIRIFAZEMPORNO_|012029_LUS_TEKKENOFILME_|019938_LUS_DAMADEFERRO_65660000_|020180_LUS_DESCARADAMENTEINFIEIS_64420000_|024854_LUS_10000AC_62050000_
43,020157_LUS_ACEVENTURADETANIM_26668000_|016631_LUS_JUSTICA_62092000_|028354_LUS_VIDASELVAGEMFILME_67297000_|013660_LUS_TINHASMSMSERTU_|025076_LUS_SEMTI_61341000_|016576_LUS_GARFIELD2_65257000_|015851_LUS_1CALOIR7PASPALH_58698000_|018855_LUS_ESPELHOMEU_63742000_|022581_LUS_SABORPAIXAO_56589000_|026645_LUS_BALACERTEIRA_67106000_|027638_LUS_STOKER_67075000_|028341_LUS_VISITANTESNAMERICA_53617000_|017825_LUS_PROMETAMARTE_63263000_|024586_LUS_KILLIRISHMAN_66731000_|017109_LUS_HOMEMNOLIMITE_63401000_
